Baseline 100%T,,Illy,,Mucilago,,Cafeina,,Ox,,Mi,,Ch,,Go,,Verde,,C2,,C1,,C3,,C4,,OFL1,,OFL2,,OFL3,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2485,34.54213715,2485,58.340168,2485,63.38573074,2485,61.1247406,2485,58.15662766,2485,59.0984993,2485,59.10403061,2485,63.98910904,2485,67.24328613,2485,68.1598053,2485,65.48045349,2485,74.45063019,2485,57.97212219,2485,118.0666122,2485,160.3586884,2485,89.97676849,
2484,34.22395706,2484,58.31101608,2484,63.03898621,2484,62.15979004,2484,58.18173218,2484,58.38390732,2484,59.28978729,2484,64.40703583,2484,67.82298279,2484,70.11332703,2484,67.03258514,2484,74.20797729,2484,58.57235718,2484,119.0508499,2484,161.9297791,2484,90.42176819,
2483,34.42398834,2483,58.32957077,2483,62.83092499,2483,61.37770844,2483,57.54665756,2483,59.48783875,2483,59.06835175,2483,64.13187408,2483,67.20488739,2483,68.99006653,2483,65.19924164,2483,73.75337219,2483,57.86004639,2483,119.1492462,2483,161.488327,2483,90.30749512,
2482,34.45534515,2482,57.11200714,2482,62.85215759,2482,60.86043549,2482,57.66688538,2482,59.292202,2482,59.07497406,2482,64.74311829,2482,67.25892639,2482,68.89766693,2482,65.59272766,2482,73.94380951,2482,58.2780838,2482,118.478569,2482,160.9221497,2482,89.93631744,
2481,34.37863541,2481,58.41895294,2481,63.15602112,2481,61.73431396,2481,58.08470917,2481,59.73794937,2481,59.79789352,2481,64.47635651,2481,67.00086975,2481,68.76300049,2481,65.91385651,2481,74.6441803,2481,58.16307068,2481,119.600441,2481,160.825531,2481,90.25684357,
2480,34.18232346,2480,58.78130341,2480,62.94963837,2480,61.79566956,2480,57.60826874,2480,59.70798111,2480,59.39322281,2480,64.12521362,2480,67.71903992,2480,68.93946838,2480,66.28400421,2480,74.00106049,2480,57.53067017,2480,119.6545105,2480,162.3929749,2480,91.19425201,
2479,34.39910126,2479,57.91092682,2479,62.20124817,2479,61.15718079,2479,58.20820999,2479,59.85718536,2479,59.86855698,2479,64.51770782,2479,66.07428741,2479,69.19521332,2479,65.88174438,2479,73.32342529,2479,57.98435211,2479,119.545784,2479,161.8520508,2479,89.78708649,
2478,34.66677856,2478,57.15786743,2478,62.32363129,2478,60.67745209,2478,56.77770996,2478,59.98340988,2478,58.69283676,2478,63.29523468,2478,66.07335663,2478,67.98258972,2478,64.36610413,2478,72.68109131,2478,57.07816315,2478,118.5646439,2478,160.2676392,2478,89.45316315,
2477,34.30909729,2477,57.95943069,2477,62.80084991,2477,61.98772049,2477,57.81387711,2477,59.21366882,2477,60.18841171,2477,64.30839539,2477,67.75216675,2477,68.13991547,2477,65.53687286,2477,73.48451996,2477,57.5328598,2477,119.9747772,2477,161.589325,2477,91.18180847,
2476,34.76866531,2476,57.28579712,2476,62.8742218,2476,60.34645462,2476,58.09283829,2476,59.16044235,2476,58.70071793,2476,63.96977997,2476,66.92002106,2476,67.18770599,2476,64.24353027,2476,73.00670624,2476,57.23949814,2476,119.0503922,2476,159.5885925,2476,89.18845367,
2475,34.65617371,2475,58.38314819,2475,62.21754074,2475,61.57804871,2475,57.06771469,2475,59.19256973,2475,59.10130692,2475,63.87279129,2475,66.01275635,2475,67.17796326,2475,64.3062973,2475,72.48677063,2475,56.71436691,2475,118.5480576,2475,160.5411835,2475,89.78000641,
